Designator,Mid X,Mid Y,Rotation,Layer
1,11.8,-68.4,0.0,top
BOOT,97.5,-13.7,90.0,top
C1,51.0,-56.7,90.0,top
C16,12.3,-64.6,0.0,top
C17,12.9,-39.5,180.0,top
C18,12.3,-61.6,0.0,top
C19,12.3,-58.5,0.0,top
C2,43.2,-56.7,90.0,top
C20,22.0,-46.3,180.0,top
C21,21.9755,-44.246,180.0,top
C22,37.2,-23.6,0.0,top
C23,88.378,-18.7345,270.0,top
C24,37.198,-22.164,0.0,top
C25,37.2,-20.8,0.0,top
C26,19.2,-21.5,0.0,top
C27,30.2,-24.0,180.0,top
C28,30.2,-22.6,180.0,top
C3,35.3,-56.7,90.0,top
C4,27.0,-56.7,90.0,top
CARD1,10.75,-24.7,270.0,top
CN1,73.4,-73.1,0.0,top
CN5,73.4,-13.7,180.0,top
CN6,31.8,-13.7,180.0,top
CN7,31.8,-73.1,0.0,top
D11,21.5,-40.9,90.0,top
D21,8.4,-60.2,90.0,top
D22,94.2,-19.3,0.0,top
D23,93.9,-33.9,0.0,top
ESP_3V3,39.4485,-28.2645,0.0,top
K5,93.78,-59.22,270.0,top
K6,83.08,-59.22,270.0,top
K7,72.38,-59.22,270.0,top
K8,61.68,-59.22,270.0,top
LED1,91.1,-47.2,0.0,top
LED2,80.5,-47.2,0.0,top
LED3,69.5,-47.2,0.0,top
LED4,58.5,-47.2,0.0,top
LED5,53.0,-56.7,270.0,top
LED6,45.2,-56.7,270.0,top
LED7,37.3,-56.7,270.0,top
LED8,29.0,-56.7,270.0,top
Q1,74.9,-21.1,180.0,top
Q2,74.9,-24.7,180.0,top
R1,96.5,-47.2,0.0,top
R10,35.3,-53.2,180.0,top
R11,25.0,-56.7,270.0,top
R12,27.0,-53.2,180.0,top
R13,80.4,-22.9,90.0,top
R16,41.33,-38.2495,90.0,top
R2,85.5,-47.2,0.0,top
R3,75.5,-47.2,0.0,top
R4,64.5,-47.2,0.0,top
R47,19.2,-58.5,0.0,top
R49,94.3,-21.1,180.0,top
R5,49.0,-56.7,270.0,top
R50,94.2,-25.2,180.0,top
R51,93.9,-35.6,180.0,top
R52,93.9,-39.5,180.0,top
R53,84.478,-18.5345,270.0,top
R54,83.1775,-18.5345,270.0,top
R55,85.778,-18.5345,270.0,top
R56,87.078,-18.5345,270.0,top
R57,37.0,-25.1,0.0,top
R58,19.2,-25.9,180.0,top
R59,15.7735,-58.4645,0.0,top
R6,51.1685,-53.2515,180.0,top
R60,78.1,-22.9,270.0,top
R62,38.6,-16.1,180.0,top
R63,43.537,-16.1265,180.0,top
R64,48.8,-16.1,0.0,top
R65,71.2,-16.8,0.0,top
R66,77.9,-16.8,0.0,top
R7,41.2,-56.7,270.0,top
R8,43.2,-53.2,180.0,top
R9,33.3,-56.7,270.0,top
RN1,26.0,-48.8,180.0,top
RN2,31.4,-40.3,90.0,top
RST,102.3,-13.8,90.0,top
U1,77.8,-40.5,90.0,top
U14,35.325,-26.2,0.0,bottom
U2,51.0,-64.2,270.0,top
U27,17.942,-63.0625,90.0,top
U28,12.7,-50.6,0.0,top
U29,52.8,-29.55,0.0,top
U3,43.2,-64.2,270.0,top
U30,85.695,-23.8125,270.0,top
U31,94.2,-26.6,0.0,top
U32,94.3,-23.8,0.0,top
U33,94.3,-22.5,0.0,top
U34,93.9,-40.8,0.0,top
U35,93.9,-36.9,0.0,top
U36,93.9,-38.2,0.0,top
U37,27.1,-43.3,270.0,top
U38,21.9,-31.5,90.0,top
U39,45.15,-44.1,270.0,top
U4,35.3,-64.2,270.0,top
U40,37.15,-44.1,270.0,top
U41,37.4,-38.1,0.0,top
U42,67.2,-21.7,90.0,top
U43,25.5,-20.5,90.0,top
U5,27.5,-64.2,270.0,top
U6,29.6,-31.8,90.0,top
USBC1,100.325,-22.8,90.0,top
USBC2,100.325,-37.4,90.0,top
