Designator,Quantity
MOV,1
BOOT, RST,2
C1, C16, C18, C19, C2, C20, C21, C3, C4,9
C17,1
C22, C23, C24, C25, C26, C27, C28,7
CARD1,1
CN1, CN5, CN6, CN7,4
D11, D22, D23,3
D21,1
ESP_3V3,1
K5, K6, K7, K8,4
LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8,8
Q1, Q2,2
R1, R10, R11, R12, R13, R16, R2, R3, R4, R47, R5, R6, R60, R62, R63, R64, R65, R66, R7, R8, R9,21
R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59,11
RN1, RN2,2
U1,1
U14,1
U2, U3, U4, U5,4
U27,1
U28,1
U29,1
U30,1
U31, U32, U33, U34, U35, U36,6
U37,1
U38,1
U39, U40,2
U41,1
U42,1
U43,1
U6,1
USBC1, USBC2,2
